Parameters,Time,Season,mean_vals
Nitrate/Nitrite,Day,FALL,0.441
Nitrate/Nitrite,Day,SPRING,0.8572727272727273
Nitrate/Nitrite,Night,FALL,1.1155
Nitrate/Nitrite,Night,SPRING,0.41195121951219515
Salinity,Day,FALL,34.2305602775
Salinity,Day,SPRING,33.86136979477273
Salinity,Night,FALL,33.66574832075
Salinity,Night,SPRING,34.32132376097561
Silicate,Day,FALL,10.253
Silicate,Day,SPRING,18.65340909090909
Silicate,Night,FALL,23.1045
Silicate,Night,SPRING,8.18780487804878
Temperature (C),Day,FALL,26.78086299425
Temperature (C),Day,SPRING,24.738477546136362
Temperature (C),Night,FALL,25.7258751285
Temperature (C),Night,SPRING,23.945775522682926
pH,Day,FALL,8.118174999999999
pH,Day,SPRING,8.02675
pH,Night,FALL,7.972025
pH,Night,SPRING,7.9386829268292685
Percent SGD,Day,FALL,1.3246770026249999
Percent SGD,Day,SPRING,2.410001174477273
Percent SGD,Night,FALL,2.98507751925
Percent SGD,Night,SPRING,1.0578559274146342
