region,subregion.x,latitude,longitude,long,lat,group,order,subregion.y
Illinois,Winnebago County,42.1846,-89.022,NA,NA,NA,NA,NA
Illinois,Sangamon County,39.65749,-89.56981,NA,NA,NA,NA,NA
Illinois,Sangamon County,39.73333,-89.61281,NA,NA,NA,NA,NA
Illinois,St. Clair County,38.51689,-90.16501,NA,NA,NA,NA,NA
Illinois,Tazewell County,40.67577,-89.60034,NA,NA,NA,NA,NA
Illinois,Union County,37.56937,-89.36241,NA,NA,NA,NA,NA
Illinois,Union County,37.4351,-89.30203,NA,NA,NA,NA,NA
Illinois,Vermilion County,40.09169,-87.71541,NA,NA,NA,NA,NA
Illinois,Whiteside County,41.73534,-90.22054,NA,NA,NA,NA,NA
Illinois,Piatt County,39.8352,-88.47835,NA,NA,NA,NA,NA
Illinois,McHenry County,42.18476,-88.29926,NA,NA,NA,NA,NA
Illinois,Marshall County,41.02524,-89.45454,NA,NA,NA,NA,NA
Illinois,Madison County,38.72226,-89.80125,NA,NA,NA,NA,NA
Illinois,Madison County,38.66736,-89.87602,NA,NA,NA,NA,NA
Illinois,Massac County,37.2276,-88.7584,NA,NA,NA,NA,NA
Illinois,McDonough County,40.45428,-90.78947,NA,NA,NA,NA,NA
Illinois,McDonough County,40.45273,-90.79664,NA,NA,NA,NA,NA
Illinois,McHenry County,42.38553,-88.35001,NA,NA,NA,NA,NA
Illinois,Perry County,38.0985,-89.4205,NA,NA,NA,NA,NA
Illinois,Pulaski County,37.1142,-89.1979,NA,NA,NA,NA,NA
Illinois,Jefferson County,38.32304,-88.96978,NA,NA,NA,NA,NA
Illinois,Jersey County,39.02341,-90.401840000000007,NA,NA,NA,NA,NA
Illinois,Kendall County,41.625,-88.4375,NA,NA,NA,NA,NA
Illinois,La Salle County,41.42396,-88.71103,NA,NA,NA,NA,NA
Illinois,La Salle County,41.4209,-88.706,NA,NA,NA,NA,NA
Illinois,Lawrence County,38.71682,-87.68468,NA,NA,NA,NA,NA
Illinois,Lee County,41.86395,-89.34285,NA,NA,NA,NA,NA
Illinois,Logan County,40.14471,-89.41959,NA,NA,NA,NA,NA
Illinois,Macoupin County,39.2038,-89.9758,NA,NA,NA,NA,NA
Illinois,De Witt County,40.19732,-88.724,NA,NA,NA,NA,NA
Illinois,Fulton County,40.5634,-89.95824,NA,NA,NA,NA,NA
Illinois,Grundy County,41.3368,-88.562,NA,NA,NA,NA,NA
Illinois,Grundy County,41.3368,-88.562,NA,NA,NA,NA,NA
Illinois,Hardin County,37.44508,-88.36589,NA,NA,NA,NA,NA
Illinois,Henderson County,40.9119,-90.928,NA,NA,NA,NA,NA
Illinois,Jackson County,37.71917,-89.48784,NA,NA,NA,NA,NA
Illinois,Jackson County,37.61335,-89.15173,NA,NA,NA,NA,NA
Illinois,Jackson County,37.63264,-89.17177,NA,NA,NA,NA,NA
Illinois,Clark County,39.40458,-87.7313,NA,NA,NA,NA,NA
Illinois,Bond County,38.946,-89.582,NA,NA,NA,NA,NA
Illinois,Cass County,40.06831,-90.15218,NA,NA,NA,NA,NA
Illinois,Cook County,41.53346,-87.75156,NA,NA,NA,NA,NA
Illinois,Cook County,41.63039,-87.86476,NA,NA,NA,NA,NA
Illinois,Cook County,41.53346,-87.75156,NA,NA,NA,NA,NA
Illinois,Cook County,41.63289,-87.79683,NA,NA,NA,NA,NA
Illinois,Cook County,41.53887,-87.62597,NA,NA,NA,NA,NA
